archive.name, National Meteorological Archive
archive.host_country, UK
archive.notes, https://www.metoffice.gov.uk/research/library-and-archive/publications/daily-weather-summary
platform.name, NA
document.contact_person, Philip Brohan <philip.brohan@metofffice.gov.uk>
document.id_within_archive, METDLA/6/1/1
document.id_within_archive_type, NA
document.is_instance_of_a, Weather station report
document.standardized_region_list, "uk,europe"
document.start_date, NA
document.end_date, NA
document.rights_statement, Open Government License
document.notes,
